qacc,sacc,qlen,length,pident,qstart,qend,sstart,send,evalue,bitscore,alignment_coverage
COQ3_1~~~COQ3_2,NC_004603,684,684,93.567,1,684,1453907,1454554,0.0,1064.0,1.0
COQ5~~~COQ5_2~~~COQ5_3~~~menG~~~desVI~~~COQ5_1~~~tam_1,NC_004603,1413,1414,98.232,1,1413,2098322,2096909,0.0,2434.0,1.0007077140835103
GMPR~~~guaC_1~~~guaC_2,NC_004605,291,255,100.0,37,291,1224422,1224168,2.1e-130,461.0,0.8762886597938144
aaeA_2~~~aaeA_3,NC_004603,861,858,72.611,1,858,1443445,1442588,4.72e-138,489.0,0.9965156794425087
aaeA_3~~~aaeA_2~~~aaeA_1,NC_004603,867,868,98.963,1,867,1443445,1442578,0.0,1522.0,1.0011534025374855
aaeB_2~~~aaeB,NC_004603,1356,1331,67.318,13,1334,1442556,1441235,1.0400000000000001e-110,398.0,0.9815634218289085
accD_1~~~accD_2~~~accD_3,NC_004605,906,907,96.141,1,906,822633,823539,0.0,1475.0,1.0011037527593818
aceF_1~~~aceF_2~~~aceF,NC_004603,1935,1935,95.814,1,1935,2657536,2655653,0.0,3158.0,1.0
aceF~~~aceF_2,NC_004603,1920,1920,96.354,1,1920,2657536,2655653,0.0,3167.0,1.0
alaS_1,NC_004603,675,675,97.481,1,675,1880937,1880263,0.0,1141.0,1.0
amsI~~~wzb~~~wzc_1~~~wzc~~~wzc_2~~~etk,NC_004605,2631,2631,98.974,1,2631,1701891,1704520,0.0,4620.0,1.0
araA,NC_004605,1494,1494,100.0,1,1494,1797622,1799115,0.0,2695.0,1.0
araA_3~~~araA_1~~~araA~~~araA_2,NC_004605,1530,1452,69.353,40,1479,1797638,1799073,1.99e-158,557.0,0.9490196078431372
araB,NC_004605,1677,1496,68.516,22,1508,1795209,1796695,2.5e-151,533.0,0.8920691711389386
araB~~~araB_2~~~araB_1,NC_004605,1710,1710,98.363,1,1710,1795176,1796879,0.0,2959.0,1.0
araC_2~~~araC_1~~~araC,NC_004605,837,833,66.987,1,825,1799737,1800564,1.61e-61,234.0,0.995221027479092
araC~~~araC_1~~~araC_2,NC_004605,840,840,100.0,1,840,1799737,1800576,0.0,1516.0,1.0
araF~~~araF_1~~~araF_2,NC_004605,1062,1063,99.059,1,1062,1794865,1793803,0.0,1869.0,1.0009416195856873
araG~~~araG_1~~~araG_2~~~btuD_5,NC_004605,1515,1515,99.34,1,1515,1793746,1792232,0.0,2688.0,1.0
araH_1~~~araH_2~~~araH~~~rbsC_2,NC_004605,1203,982,98.371,1,982,1792217,1791236,0.0,1700.0,0.8162926018287614
argP_3~~~argP_1~~~syrM1~~~syrM1_2~~~argP_4,NC_004605,963,958,99.165,1,958,100792,101749,0.0,1692.0,0.9948078920041536
arpC~~~tdeA~~~btuD_1~~~ttgC~~~ttgI,NC_004605,3357,3357,98.511,1,3357,226201,229556,0.0,5826.0,1.0
atsA_2~~~atsA,NC_004605,2370,2370,100.0,1,2370,602646,600277,0.0,4275.0,1.0
atsA_3~~~atsA,NC_004605,2373,2363,76.217,10,2372,602637,600278,0.0,1727.0,0.9957859249894648
