qacc,sacc,qlen,length,pident,qstart,qend,sstart,send,evalue,bitscore,alignment_coverage
COQ3_1~~~COQ3_2,VP07269.contig00004,684,684,94.006,1,684,445559,446206,0.0,1077.0,1.0
COQ3_1~~~COQ3_3~~~COQ3_2,NZ_NNHO01000049,633,633,96.051,1,633,9446,8814,0.0,1030.0,1.0
COQ3_2,JAJGNV010000003.1,645,645,99.535,1,645,242528,243172,0.0,1150.0,1.0
COQ3_2~~~COQ3_4~~~COQ3_3~~~COQ3_1,VP11139.contig00028,651,651,98.157,1,651,963,1604,0.0,1124.0,1.0
COQ5_1~~~yfiC_1~~~COQ5~~~COQ5_3~~~yfiC_2~~~merR1~~~COQ5_2,AAXNRW010000001,1182,1182,97.377,1,1182,305297,304116,0.0,1993.0,1.0
COQ5_3~~~COQ5_1~~~COQ5,NZ_BAVK01000002,717,717,100.0,1,717,212071,212787,0.0,1294.0,1.0
COQ5_4~~~COQ5_3~~~COQ5_1~~~COQ5,SPVP150045.contig00018,705,705,99.007,1,705,27701,26997,0.0,1241.0,1.0
COQ5~~~COQ5_2~~~COQ5_3~~~menG~~~desVI~~~COQ5_1~~~tam_1,NZ_MUXG01000003,1413,1414,99.01,1,1413,278593,277180,0.0,2484.0,1.0007077140835103
COQ5~~~COQ5_3~~~COQ5_2~~~COQ5_1~~~yfiC_1~~~merR1,SRR13684777.contig00032,1194,1194,95.226,1,1194,42320,41128,0.0,1893.0,1.0
GMPR~~~guaC_1~~~guaC_2,VP07269.contig00001,291,291,98.625,1,291,65195,65485,9.91e-143,508.0,1.0
Hgd~~~garR,SRR13684777.contig00058,870,870,100.0,1,870,2699,1830,0.0,1570.0,1.0
IMPDH_3~~~IMPDH_1~~~IMPDH_2,VP06050.contig00006,1872,1872,98.13,1,1872,197307,199148,0.0,3241.0,1.0
aaaT_2,NZ_JABCBH010000021,588,565,97.345,25,588,5434,4870,0.0,948.0,0.9608843537414966
aaeA_2~~~aaeA_3,NZ_JAFLNR010000006,861,861,89.431,1,861,10080,9220,0.0,1143.0,1.0
aaeA_3~~~aaeA_2~~~aaeA_1,SPVP110054.contig00025,867,868,99.885,1,867,8384,7517,0.0,1558.0,1.0011534025374855
aaeB_2~~~aaeB,NZ_LFYN01000147,1356,1356,83.112,1,1356,9515,8160,0.0,1414.0,1.0
aaeB_2~~~aaeB~~~aaeB_1,SRR17888663.contig00031,1365,1365,99.927,1,1365,2617,1253,0.0,2458.0,1.0
accD_1~~~accD_2~~~accD_3,VP07003.contig00001,906,907,97.354,1,906,694607,693701,0.0,1525.0,1.0011037527593818
aceF_1~~~aceF_2~~~aceF,NZ_CP051100,1935,1935,97.364,1,1935,2582159,2584054,0.0,3291.0,1.0
aceF~~~aceF_2,SPVP140090.contig00006,1920,1920,97.552,1,1920,361974,360088,0.0,3272.0,1.0
acn~~~citB~~~acn_1~~~acn_2~~~acn_3~~~acnA,SPVP170146.contig00029,2724,2724,97.761,1,2724,507,3230,0.0,4638.0,1.0
acs1~~~bcs1,SRR17888663.contig00002,1359,1359,99.926,1,1359,172685,174043,0.0,2447.0,1.0
addA,NZ_JAFLNR010000001,1761,1761,100.0,1,1761,406366,408126,0.0,3177.0,1.0
adiA_1,SRR17888663.contig00031,2295,2295,97.298,1,2295,11463,13757,0.0,3860.0,1.0
adiA_1~~~adiA_2,SPVP170146.contig00008,2295,2295,99.782,1,2295,205278,202984,0.0,4117.0,1.0
adiC_1~~~adiC_2~~~adiC,SRR11823746.contig00017,1341,1341,98.434,1,1341,36512,35172,0.0,2324.0,1.0
alaS_1,SPVP110054.contig00005,675,675,99.259,1,675,34295,34969,0.0,1196.0,1.0
algC,SPVP170162.contig00003,1374,1305,95.479,1,1304,332465,331162,0.0,2081.0,0.9497816593886463
alr1~~~dadX,SRR19641559.contig00005,1077,1077,100.0,1,1077,268599,267523,0.0,1943.0,1.0
amsI~~~wzb~~~wzc_1~~~wzc~~~wzc_2~~~etk,VP06050.contig00004,2631,2631,99.962,1,2631,297855,295226,0.0,4737.0,1.0
aptA~~~tktB,VP10022.contig00001,822,822,100.0,1,822,27084,26263,0.0,1483.0,1.0
aptB~~~pdhB_2,SPVP140285.contig00010,978,978,93.149,1,978,192824,193801,0.0,1462.0,1.0
araA,SPVP150085.contig00006,1494,1494,99.398,1,1494,212743,211250,0.0,2654.0,1.0
araA_3~~~araA_1~~~araA~~~araA_2,NZ_BAVK01000003,1530,1530,100.0,1,1530,308422,309951,0.0,2760.0,1.0
araB,NZ_BAVK01000003,1677,1677,100.0,1,1677,305990,307666,0.0,3025.0,1.0
araB~~~araB_2~~~araB_1,NZ_JAFLNR010000003,1710,1710,99.532,1,1710,242013,243716,0.0,3049.0,1.0
araC_2~~~araC_1~~~araC,NZ_BAVK01000003,837,837,100.0,1,837,311195,312031,0.0,1510.0,1.0
araC~~~araC_1~~~araC_2,SPVP150085.contig00006,840,840,100.0,1,840,210628,209789,0.0,1516.0,1.0
araF~~~araF_1~~~araF_2,SRR11823746.contig00004,1062,1063,99.436,1,1062,206299,207361,0.0,1887.0,1.0009416195856873
araG~~~araG_1~~~araG_2~~~btuD_5,SRR17888663.contig00005,1515,1515,99.472,1,1515,76341,77855,0.0,2697.0,1.0
araH_1~~~araH_2~~~araH~~~rbsC_2,SPVP150085.contig00006,1203,982,99.898,1,982,218148,219129,0.0,1767.0,0.8162926018287614
argO_2~~~argO_1,SRR13684777.contig00039,627,627,100.0,1,627,37276,36650,0.0,1131.0,1.0
argP_3~~~argP_1~~~syrM1~~~syrM1_2~~~argP_4,SRR18609788.contig00002,963,963,99.688,1,963,32341,31379,0.0,1724.0,1.0
arnA,VP07269.contig00003,876,876,100.0,1,876,173596,174471,0.0,1581.0,1.0
arnA~~~fmt_1~~~fmt_2,VP10022.contig00003,894,894,97.092,1,894,382862,381969,0.0,1496.0,1.0
aroK_3,SPVP150139.contig00028,681,634,97.003,50,681,16233,15600,0.0,1056.0,0.9309838472834068
arpC~~~tdeA~~~btuD_1~~~ttgC~~~ttgI,VP06050.contig00002,3357,3357,98.868,1,3357,88086,91441,0.0,5880.0,1.0
asD,SRR16324073.contig00006,1596,1596,87.907,1,1596,18041,19636,0.0,2009.0,1.0
asnB_1,VP06050.contig00005,1770,1770,97.627,1,1770,218051,219820,0.0,3003.0,1.0
aspT_2~~~aspT_3~~~aspT_1,SRR16324073.contig00006,1716,1714,91.949,1,1714,16230,17943,0.0,2470.0,0.9988344988344988
atsA,NZ_JACBSZ010000012,2391,2391,99.665,1,2391,147946,145562,0.0,4277.0,1.0
atsA_2~~~atsA,SPVP150139.contig00003,2370,2370,99.451,1,2370,163971,161602,0.0,4216.0,1.0
atsA_3~~~atsA,NZ_CP046786,2373,2373,97.345,1,2373,725561,723189,0.0,3996.0,1.0
axeA1,NZ_NNEL01000027,934,934,100.0,1,934,61426,60493,0.0,1685.0,1.0
bacC,NZ_JAFLNR010000001,753,747,74.967,1,743,384777,385519,6.03e-138,494.0,0.9920318725099602
bar,NZ_CP051100,519,519,98.266,1,519,3286287,3286796,0.0,900.0,1.0
bar_1~~~bar_3~~~bar~~~bar_2,NZ_CP046785,510,510,94.51,1,510,2402861,2403370,0.0,794.0,1.0
bar_1~~~bar~~~bar_2,SPVP140259.contig00024,632,627,99.841,1,627,2463,3089,0.0,1127.0,0.9920886075949367
bar_2~~~bar_1~~~bar,VP15198.contig00054,513,513,99.025,1,513,72,583,0.0,900.0,1.0
bar_2~~~bar_1~~~bar~~~bar_3,SPVP140090.contig00021,588,589,99.491,1,588,801,213,0.0,1046.0,1.001700680272109
bar~~~bar_2,SRR11823746.contig00024,501,501,98.004,1,501,17639,18139,0.0,859.0,1.0
bcp_2~~~bcp_3~~~bcp_1,SRR18034811.contig00005,465,464,80.388,1,464,408412,407949,4.43e-118,427.0,0.9978494623655914
bcsA_2~~~bcsA_1~~~bcsA,SRR13684777.contig00033,2634,2634,99.848,1,2634,54295,51662,0.0,4733.0,1.0
bcsB~~~bcsB_1~~~bcsB_2,NZ_JABCBN010000012,2289,2291,95.373,1,2289,21933,24218,0.0,3652.0,1.00087374399301
bcsE,SPVP170146.contig00031,1584,1584,99.747,1,1584,17289,15706,0.0,2839.0,1.0
bcsG_2~~~bcsG_1~~~bcsG,SPVP150045.contig00003,1626,1626,99.692,1,1626,67812,66187,0.0,2911.0,1.0
bcsQ,VP11139.contig00008,795,795,97.862,1,795,70384,71163,0.0,1367.0,1.0
bcsZ~~~bcsZ_1~~~bcsZ_2,NZ_MUXG01000005,1119,1119,98.391,1,1119,105068,103962,0.0,1944.0,1.0
benM_2~~~benM_1,NZ_NNHO01000007,900,894,92.058,1,894,165353,166246,0.0,1293.0,0.9933333333333333
benM~~~hdfR_3~~~hdfR_8~~~hdfR_9~~~hdfR_6,NZ_JACBSZ010000006,936,940,97.979,1,936,36496,37435,0.0,1609.0,1.0042735042735043
bepA_3~~~bepA_2,SRR17888663.contig00035,723,723,100.0,1,723,8171,8893,0.0,1305.0,1.0
bepC_3,NZ_BAVK01000002,1320,1320,99.47,1,1320,908889,907576,0.0,2351.0,1.0
bglY,JACVHJ010000038.1,2067,2067,94.194,1,2067,17689,15623,0.0,3187.0,1.0
bin3~~~bin3_1~~~bin3_2,VP06050.contig00026,648,648,93.827,1,648,4599,3952,0.0,989.0,1.0
bin3~~~bin3_2~~~bin3_1~~~bin3_3,VP06050.contig00019,666,666,100.0,1,666,8015,8680,0.0,1202.0,1.0
bltD_1~~~bltD~~~bltD_4~~~bltD_2,DADYHI010000029,477,477,73.375,1,477,3372,3848,2.88e-76,288.0,1.0
bltD_3,SPVP140107.contig00033,555,555,98.919,1,555,677,1231,0.0,975.0,1.0
btrN,NZ_JABCFE010000004,1371,1371,99.854,1,1371,322034,320666,0.0,2457.0,1.0
btuB_1~~~btuB_2~~~btuB_3,NZ_KK020603,2610,2610,99.54,1,2610,73449,70846,0.0,4654.0,1.0
btuB_1~~~btuB_3~~~btuB_4~~~btuB_2,NZ_CP051100,1836,1836,92.538,1,1836,2098735,2100570,0.0,2694.0,1.0
btuB_2~~~btuB_1~~~btuB_4~~~btuB_3,AAXNRW010000015,1875,1857,97.684,19,1875,4313,2457,0.0,3156.0,0.9904
btuB_2~~~btuB_3~~~cirA_3~~~btuB_4,SPVP150139.contig00011,2604,2604,99.77,1,2604,143513,140913,0.0,4668.0,1.0
btuD_1~~~cysA~~~cysA_2~~~btuD_4~~~btuD_8~~~btuD_10~~~cysA_3~~~malK_1~~~btuD_3~~~potA_2,SPVP150045.contig00007,2403,2403,99.168,1,2403,105927,108327,0.0,4237.0,1.0
cadC_2,NZ_BAVK01000008,1371,1371,100.0,1,1371,288282,289652,0.0,2473.0,1.0
capD,NZ_CP046785,1053,1020,78.137,34,1053,758833,757814,0.0,835.0,0.9686609686609686
cas1,NZ_JACBSZ010000001,978,978,96.524,1,978,597841,596864,0.0,1611.0,1.0
cas2,ABDZFE010000020,249,249,100.0,1,249,7046,7294,1.9700000000000002e-125,450.0,1.0
cas3~~~cas1,NZ_BAVK01000008,3876,3339,99.73,538,3876,298591,295256,0.0,5980.0,0.8614551083591331
cas6f,SPVP140285.contig00010,639,639,98.122,1,639,136536,135898,0.0,1099.0,1.0
catM~~~hdfR_7~~~hdfR_1~~~hdfR_9,SRR4016801.contig00002,1005,1005,99.403,1,1005,712357,713361,0.0,1786.0,1.0
